arch,name,approach,time[ms]_Average,device_energy[j]_Average,host_energy[j]_Average,time[ms]_Stdev,device_energy[j]_Stdev,host_energy[j]_Stdev,time[ms]_Min,device_energy[j]_Min,host_energy[j]_Min,time[ms]_Max,device_energy[j]_Max,host_energy[j]_Max,time[ms]_Median,device_energy[j]_Median,host_energy[j]_Median
Intel,srad,app,571.8,45.08642,268.75,9.641576634555161,0.6417795615318399,4.402424422974232,556.0,43.9109,261.228,584.0,45.655,273.391,572.0,45.2345,269.461
Intel,srad,kernel,553.6,50.31458,262.666,4.586937976471886,1.044846521552328,5.321869333232448,548.0,49.431,256.108,559.0,52.3079,272.125,552.0,49.7632,261.63
Intel,srad,phase,487.8,43.06118,235.56820000000002,2.4819347291981715,0.16140476325065511,0.9995409746478607,485.0,42.8327,234.192,492.0,43.2665,236.537,487.0,43.0579,236.113
Intel,ace,app,2272.4,310.823,949.5147999999999,13.26046756340062,0.9545530891469668,7.670131039297823,2259.0,309.652,939.014,2297.0,312.487,961.482,2270.0,310.557,947.646
Intel,ace,kernel,1509.0,278.0536,646.517,5.966573556070519,0.58140436874863,3.934425040587233,1501.0,277.475,640.45,1517.0,278.897,652.169,1509.0,277.805,646.049
Intel,ace,phase,1369.0,270.6268,599.8676,1.6733200530681511,0.19572368277752286,2.0859379281272923,1367.0,270.24,597.148,1371.0,270.775,602.364,1370.0,270.7,600.153
Intel,metropolis,app,475.0,53.085342857142855,192.4338571428572,8.400680244565232,0.6642003481247052,3.317784735485473,470.0,52.6148,189.897,495.0,54.6321,200.226,472.0,52.8976,191.219
Intel,metropolis,kernel,483.85714285714283,52.90692857142858,196.59885714285716,0.989743318610787,0.10646971016995256,0.8872721322878839,482.0,52.7764,195.014,485.0,53.1041,197.902,484.0,52.8624,196.977
Intel,metropolis,phase,407.55,51.788835000000006,166.15460000000002,11.240440382831983,1.1608686516031863,4.278300683682713,402.0,51.2088,164.203,456.0,56.1261,184.515,405.0,51.4058,165.0425
Intel,aop,app,389.0,31.24654,201.6902,3.286335345030997,0.20252937169704532,1.4904888325646708,386.0,31.0736,199.246,395.0,31.6192,203.382,387.0,31.1229,202.347
Intel,aop,kernel,428.8,32.849720000000005,217.4502,4.261455150532504,0.26405947360395926,1.6716620950419352,422.0,32.4067,215.199,434.0,33.1058,219.596,431.0,33.0096,218.321
Intel,aop,phase,338.4,29.194200000000002,181.68359999999998,2.870540018881465,0.17173168606870495,1.4252262416893733,336.0,29.0198,180.584,344.0,29.5145,184.485,337.0,29.1381,181.132
Intel,mnist,app,269238.8,23.99562,118.29080000000002,2814.0040795990326,0.2195008464676155,1.4771493357138954,265458.0,23.6858,115.998,273402.0,24.272,120.114,269619.0,23.9327,118.253
Intel,mnist,kernel,444048.0,40.90724,187.20879999999997,9102.677100721523,0.5376635885012117,3.4765773053392595,432785.0,40.4571,183.539,456147.0,41.744,192.022,439731.0,40.4977,185.299
